CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U35990DL2016PTC290115,STEELO MAX PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000,1000000,1/25/2016,"KHASRA NO.61/23   BLOCK-A,ANAND PUR DHAM,VILLAGE-KARALA,Delhi,110081-India",Unlisted,Strike Off,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35990DL2017PLC325686,JFB TECHNOLOGIES LIMITED,ROC Delhi,Company limited by shares,Non-government company,Public,10000000,700000,11/6/2017,"GI-48, GT KARNAL ROAD   INDUSTRIAL AREA,DELHI,North East,Delhi,110033-India",Unlisted,Active,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35990DL2017PTC310173,SATE-LITE TECHNOLOGIES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,167000000,137435700,1/4/2017,"16A/20 WEA MAIN AJMAL KHAN ROAD   KAROL BAGH,NEW DELHI,Central Delhi,Delhi,110005-India",Unlisted,Active,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35990DL2018PTC337353,RMRS ELECTRIC VEHICLES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,200000,105890,8/9/2018,"124,New Manglapuri   Mehrauli,New Delhi,South Delhi,Delhi,110030-India",Unlisted,Active,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35999DL2013FTC249654,FINCANTIERI INDIA PRIVATE LIMITED,ROC Delhi,Company limited by shares,subsidiary of company incorporated outside India,Private,35000000,10500000,3/21/2013,"2nd floor, Eros Corporate Tower, Nehru Place,,New Delhi,New Delhi,Delhi,110019-India",Unlisted,Active,delhi,Indian,35999,Manufacturing (Machinery and Equipments)
U35999DL2013PTC261221,LUMAX METTALICS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000000,99474280,11/28/2013,"2nd Floor, Harbans Bhawan-II   Commercial Complex, Nangal Raya,,New Delhi,New Delhi,Delhi,110064-India",Unlisted,Amalgamated,delhi,Indian,35999,Manufacturing (Machinery and Equipments)
U35999DL2021PTC386827,LUMAX ALPS ALPINE INDIA PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,236000000,236000000,9/21/2021,"2nd Floor, Harbans Bhawan-II, Commercial Complex,   Nangal Raya,,New Delhi,South West Delhi,Delhi,110046-India",Unlisted,Active,delhi,Indian,35999,Manufacturing (Machinery and Equipments)
U35999DL2022PTC399087,JENIKUSH GLOBAL ENERGY PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,5/26/2022,"H.NO-78,F/F, JEEVAN NIKETAN   PASCHIM VIHAR,DELHI,West Delhi,Delhi,110087-India",Unlisted,Active,delhi,Indian,35999,Manufacturing (Machinery and Equipments)
U35999DL2023PTC409334,LEBU ELECTRONICS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,1/4/2023,"T-42, 2ND FLOOR,T BLOCK SHUKAR BAZAR,New Delhi,West Delhi,Delhi,110059-India",Unlisted,Active,delhi,Indian,35999,Manufacturing (Machinery and Equipments)
U36000DL2019PTC358098,SPACS ERA PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,11/27/2019,"C-2/11 NEW ASHOK NAGAR   DELHI YOG BHARTI PUBLIC SCHOOL,DELHI,East Delhi,Delhi,110096-India",Unlisted,Active,delhi,Indian,36000,"Electricity, Gas and Water companies"
U36100DL1969PTC005178,STANDARD METAL WIRES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,750000,750000,12/18/1969,"A 26 NARAINA, INDUSTRIAL AREA   PHASE I,NEW DELHI,Delhi,110028-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL1988PTC033278,FLEXON CABLE INDUSTRIES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,10000000,3000000,9/22/1988,"MOHTA HOUSE-3/118, THIRD FLOOR,   KARAN GALI, VISHWAS NAGAR, SHAHDARA,DELHI,East Delhi,Delhi,110032-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2007PTC161558,CHAUDHARY TIMBER INDUSTRIES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,250000000,217720550,4/3/2007,"RZ-20, AMAR COLONY   MAIN ROHTAK ROAD, NANGLOI,,NEW DELHI,Delhi,110041-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2007PTC167222,AASHWAT FURNITURE PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,8/21/2007,"163, KOTLA VIHAR   PHASE II NANGLOI,NEW DELHI,West Delhi,Delhi,110041-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2008PTC179850,DECOR MODULAR SYSTEMS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,5000000,1675800,6/20/2008,"C-32, PATPAR GANJ INDUSTRIAL AREA,DELHI,Delhi,110092-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2009PTC188806,INDEEZ PROJECTS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,5000000,600000,3/25/2009,"C-105/7, 2nd Floor   Phase-1, Naraina Industrial Area,New Delhi,South West Delhi,Delhi,110028-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2011PTC216523,EASTWINDS INTRADE PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,3/24/2011,"FLAT NO. 1-C 29/2   SAVITRI NAGAR,NEW DELHI,Delhi,110017-India",Unlisted,Strike Off,delhi,Indian,36100,Manufacturing (Others)
U36100DL2011PTC220930,DAKSH STATIONERY PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,6/15/2011,"FLAT NO. 809, HUMSAB APPARTMENT   SECTOR-4, DWARKA,DELHI,South West Delhi,Delhi,110075-India",Unlisted,Strike Off,delhi,Indian,36100,Manufacturing (Others)
U36100DL2011PTC227354,L8ST KONCEPTS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,11/14/2011,"D-63   HARI NAGAR,NEW DELHI,West Delhi,Delhi,110064-India",Unlisted,Strike Off,delhi,Indian,36100,Manufacturing (Others)
U36100DL2012PTC234562,RAJSHREE FURNITURES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,4/19/2012,"Property No.1241, Third floor,   Pvt. No. 115, Ward No. 11, Kacha Bagh,,Chandni Chowk,North Delhi,Delhi,110006-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2012PTC237065,RAJDHANI FURNITURES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,5000000,2338610,6/7/2012,"B-2, 1st Floor,,Kailash Park,New Delhi,West Delhi,Delhi,110015-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2013PTC253690,WOODTECH DECOR SOLUTIONS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,2500000,100000,6/7/2013,"M-371 BF GURU HARIKISHAN NAGAR   PASCHIM VIHAR GATE NO. 1,NEW DELHI,West Delhi,Delhi,110063-India",Unlisted,Converted to LLP,delhi,Indian,36100,Manufacturing (Others)
