CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U51109MH2008PTC184248,ADHOI VYAPAR PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1500000,1257080,7/3/2008,"A-502, 2-3-4 ANDHERI MANISH GARDEN CO-OP HSG SOC,   4 BUNGLOW, ANDHERI (W),,MUMBAI,Maharashtra,400056-India",Unlisted,Active,maharashtra,Indian,51109,Trading
U74900MH2015PTC264225,GENUINE AQUA PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,5/8/2015,"274/1, PLOT NO. 17   NEAR SHANTI NIKETAN ENGLISH SCHOOL,LATUR,Latur,Maharashtra,413531-India",Unlisted,Strike Off,maharashtra,Indian,74900,Business Services
U51109MH2007PTC310747,BASUDEO VYAPAAR PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,270000,143100,3/23/2007,"Factory Block 1,900/D Imamwada Road,Nagpur,Nagpur,Maharashtra,440018-India",Unlisted,Active,maharashtra,Indian,51109,Trading
U74900MH2015PTC265483,DAYDREAMERS LEISURE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,6/12/2015,"B WING, KANAKIA WALL STREET,GROUND FLOOR,ANDHERI KURLA ROAD,CHAKALA, OPP SAI PALACE HOTEL,ANDHERI-EAST,Mumbai,Mumbai,Maharashtra,400093-India",Unlisted,Active,maharashtra,Indian,74900,Business Services
U51109MH2008PLC185094,RELIANCE NUTRITIOUS FOOD PRODUCTS LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Public,250000000,121600000,7/25/2008,"Dhobi Talao, 5th Floor, Court House,   Lokmanya Tilak Marg,,Mumbai,Maharashtra,400002-India",Unlisted,Amalgamated,maharashtra,Indian,51109,Trading
U74900MH2015PTC266137,AMATEUR SPORTS LEAGUE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,2500000,1000000,6/30/2015,"610, SKYLINE WEALTH SPACE, OASIS COMPLEX,   PREMIER ROAD,NEAR VIDYAVIHAR STATION,GHA,TKOPAR (W),MUMBAI,Mumbai City,Maharashtra,400086-India",Unlisted,Strike Off,maharashtra,Indian,74900,Business Services
U51109MH2008PTC177479,LONGITUDE MERCANTILE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000,100000,1/7/2008,"3rd Floor, Maker Chamber IV,   222, Nariman Point,,Mumbai,Mumbai City,Maharashtra,400021-India",Unlisted,Amalgamated,maharashtra,Indian,51109,Trading
U74900MH2015PTC266579,UPPER CRUST HOSPITALITY PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,10000000,10000000,7/13/2015,"UNIT NO.24, MAJITHIA INDUSTRIAL ESTATE,   W T PATIL MARG, NEXT TO DUKES COMPANY,,DEONAR,Mumbai City,Maharashtra,400088-India",Unlisted,Active,maharashtra,Indian,74900,Business Services
U51109MH2008PTC188683,REAL LIFE MULTITRADE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,0,12/4/2008,"SHOP NO. 41, PUJA ENCLEVE   OLD LINK ROAD, GANESH NAGAR, KANDIVALI (,WEST),MUMBAI,Mumbai City,Maharashtra,400067-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2008PTC188923,SHITLA TRADESYS INDIA PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,3000000,0,12/15/2008,"FLAT-  5-6,  GANGA SADAN,  GORASWADI,   NEAR SAI HAIR CRAFT, MILAP PETROL PUMP,,MALAD WEST,MUMBAI,Mumbai City,Maharashtra,400064-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2008PTC183322,Y.K. COMMODITY IMPEX PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,5000000,4640000,6/9/2008,"23 KABI BAI TRUST BULIDING, 14/16 BAHNDARI CROSS,   MASJID BUNDER (WEST),MUMBAI,Mumbai City,Maharashtra,400003-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2008PTC301659,TARUN MERCANTILES PRIVATE LIMITED.,ROC Mumbai,Company limited by shares,Non-government company,Private,600000,583000,8/13/2008,"B - 314, Yashwant Shopping Centre,   Carter, Road No 7, Borivali - (E),Mumbai,Mumbai City,Maharashtra,400066-India",Unlisted,Active,maharashtra,Indian,51109,Trading
U51109MH2009PLC195048,HARDIK HEALTH CARE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Public,600000,600000,8/19/2009,"B-42, ASHLESHA,   SECTOR-3, SRISHTI, MIRA ROAD (E),THANE,Thane,Maharashtra,401107-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2009PTC189937,RAKSHITA MERCANTILE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,1/29/2009,"11,MINISTRY INDUSTRIAL COMPLEX, MIDC, CROSSROAD A   ANDHERI EAST,MUMBAI,Thane,Maharashtra,400093-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U74900MH2015PTC267722,EBULLIENT MINDS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,8/24/2015,"FLAT NO. 1206L-01 SWAPNAPOORTI SECTOR 36 KHARGHAR   NAVI MUMBAI,NAVI MUMBAI,Mumbai City,Maharashtra,410210-India",Unlisted,Active,maharashtra,Indian,74900,Business Services
U51109MH2008PTC184766,AGRAJ MERCANTILE PRIVATE LIMTED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,7/17/2008,"B-47/187, Kalina Sunder Nagar CHS,   Kalina, Santacruz (E),MUMBAI,Maharashtra,400098-India",Unlisted,Amalgamated,maharashtra,Indian,51109,Trading
U74900MH2015PTC268427,GAJMANGAL HOLDINGS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,9/15/2015,"NO.36,2ND FLOOR,LIFESCAPES NILAY CO-OP SOC.LTD.   11/43,DR.BABASAHEB JAIKAR MARG.PERMANAND,WADI,MUMBAI,Mumbai City,Maharashtra,400002-India",Unlisted,Active,maharashtra,Indian,74900,Business Services
U51109MH2009PTC191540,RAGHUPATI TRADING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,4/7/2009,"52/54,C.P.TANK ROAD,1ST FLOOR   ROOM NO.6-A,MUMBAI,Mumbai City,Maharashtra,400004-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
