CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U28910KA2012FTC065049,LEE SPRING COMPANY INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,subsidiary of company incorporated outside India,Private,15000000,13798440,7/27/2012,"Plot No 182, Bommasandra Industrial Area   Hosur Main Road, Bommasandra,Bengaluru,Bangalore,Karnataka,560099-India",Unlisted,Active,karnataka,Indian,28910,"Manufacturing (Metals and Chemicals, and products thereof)"
U28931KA1989PTC010452,VINNORS FASTENERS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,200,10/18/1989,"88, FIRST CROSS, DA COSTASQUARE BANGALORE,BANGALORE,Karnataka,560029-India",Unlisted,Strike Off,karnataka,Indian,28931,"Manufacturing (Metals and Chemicals, and products thereof)"
U28939KA2008PTC047393,KAILASH ROOFING SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000000,70511000,8/7/2008,"No 148 GR Flr Nadkerappa Indust Estate Andhrahalli   Main Road Hegganhalli Vishwaneedam Post,BANGALORE,Bangalore,Karnataka,560091-India",Unlisted,Active,karnataka,Indian,28939,"Manufacturing (Metals and Chemicals, and products thereof)"
U28992KA2007PTC041395,GENESIS PACKAGING PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,10000000,7500000,1/5/2007,"Door No-6-19(H),(I),(J)   MUTHOOR ROAD,BOMMARABETTU VILLAGE, HIRIY,ADAKA,UDUPI,Udupi,Karnataka,576113-India",Unlisted,Active,karnataka,Indian,28992,"Manufacturing (Metals and Chemicals, and products thereof)"
U28994KA2022PTC166757,LIBANS TOOLS & COMPONENTS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,300000,10/4/2022,"No.3, 5th Main, Byreshwara Industrial Estate   Andrahalli, Near Peenya 2nd Statge,Bengaluru,Bangalore,Karnataka,560091-India",Unlisted,Active,karnataka,Indian,28994,"Manufacturing (Metals and Chemicals, and products thereof)"
U49223KA2024PTC186306,SRW SERVICES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,50000,3/15/2024,"#200. BEML /.,L/O.4tH STA,Bangalore South,Bangalore,Karnataka,560098-India",Unlisted,Active,karnataka,Indian,49223,"Transport, storage and Communications"
U49231KA2023PTC175450,SWASTIK AUTO CAREERS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,7/3/2023,"SHOPNO2 SHIVAPPA BUILDING,NEAR SWAMY NURSERY BALLUR,Anekal,Bangalore,Karnataka,562107-India",Unlisted,Active,karnataka,Indian,49231,"Transport, storage and Communications"
U50100KA2021FTC142975,TESLA INDIA MOTORS AND ENERGY PRIVATE LIMITED,ROC Bangalore,Company limited by shares,subsidiary of company incorporated outside India,Private,1360000000,500000000,1/8/2021,"14TH FLOOR, SKAV 909,   LAVELLE ROAD,,BENGALURU,Bangalore,Karnataka,560001-India",Unlisted,Active,karnataka,Indian,50100,Trading
U50100KA2022PTC157776,CLRE INNOVATIVE INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,250000,2/10/2022,"149, ARUNA ARCADE,   SHIVRAMKARANTH NAGAR,BANGALORE,Bangalore,Karnataka,560077-India",Unlisted,Active,karnataka,Indian,50100,Trading
U50102KA2011PTC060139,SRI GANESH MOTOR SERVICES INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,2000000,1151850,8/25/2011,"Hanuman Compound   Veer Hanuman Marg, Chitpady,Udupi,Karnataka,576101-India",Unlisted,Active,karnataka,Indian,50102,Trading
U50103KA2020PTC133180,TOP CARS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,3/3/2020,"#159/44,10th cross,WILSON GARDEN   SHALIMAR ARCADE,BANGALORE,Bangalore,Karnataka,560027-India",Unlisted,Strike Off,karnataka,Indian,50103,Trading
U50300KA1989PTC118284,PURI RUBBERS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,2500000,2400000,5/19/1989,"22/4, NEW TIMBER YARD LAYOUT, 1st FLOOR   COMMERCIAL PREMISES NO.4, MYSORE ROAD,BANGALORE,Bangalore,Karnataka,560026-India",Unlisted,Amalgamated,karnataka,Indian,50300,Trading
U50300KA2010PTC053218,TUSKER MOTORCYCLES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,2500000,1030000,4/15/2010,"NO.55/2   LAVELLE ROAD,BANGALORE,Karnataka,560001-India",Unlisted,Active,karnataka,Indian,50300,Trading
